Id,Name,FranchiseId,VoteCount,CharacterImage
0,Makise Kurisu,3,0,https://beta.vndb.org/ch/34/97234.jpg
0,Shiina Mayuri,3,0,https://beta.vndb.org/ch/95/97195.jpg
0,Amane Suzuha,3,0,https://beta.vndb.org/ch/36/97236.jpg
0,Hashida Itaru,3,0,https://beta.vndb.org/ch/38/97238.jpg
0,Akiha Rumiho,3,0,https://beta.vndb.org/ch/35/97235.jpg
0,Tennouji Yuugo,3,0,https://beta.vndb.org/ch/46/28046.jpg
0,Kiryuu Moeka,3,0,https://beta.vndb.org/ch/38/28038.jpg
0,Urushibara Ruka,3,0,https://beta.vndb.org/ch/44/28044.jpg
0,Okabe Rintarou,3,0,https://beta.vndb.org/ch/29/10729.jpg
0,Tennouji Nae,3,0,https://beta.vndb.org/ch/29/97229.jpg
