Id,Name,FranchiseId,VoteCount,CharacterImage
0,Ichinose Kotomi,2,0,https://beta.vndb.org/ch/30/27930.jpg
0,Okazaki Tomoya,2,0,https://beta.vndb.org/ch/83/55083.jpg
0,Furukawa Nagisa,2,0,https://beta.vndb.org/ch/28/27928.jpg
0,Sakagami Tomoyo,2,0,https://beta.vndb.org/ch/31/27931.jpg
0,Ibuki Fuuko,2,0,https://beta.vndb.org/ch/29/27929.jpg
0,Fujibayashi Kyou,2,0,https://beta.vndb.org/ch/27/27927.jpg
0,Sunohara Youhei,2,0,https://beta.vndb.org/ch/34/27934.jpg
0,Fujibayashi Ryou,2,0,https://beta.vndb.org/ch/33/27933.jpg
0,Sakagami Takafumi,2,0,https://beta.vndb.org/ch/76/55076.jpg
0,Miyazawa Yukine,2,0,https://beta.vndb.org/ch/32/27932.jpg
